"animal_name","ring_id","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"Pamela 8","PAL-0317","Chinstrap","Dream",49,19.5,210,3950,"male",2008
"Sandra 16","PAL-0318","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008
"Rita 30","PAL-0319","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"Erica 25","PAL-0320","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"Tina 23","PAL-0321","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009
"Angela 27","PAL-0322","Chinstrap","Dream",50.8,18.5,201,4450,"male",2009
"Pamela 39","PAL-0323","Chinstrap","Dream",50.1,17.9,190,3400,"female",2009
"Monica 11","PAL-0324","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"Pamela 18","PAL-0325","Chinstrap","Dream",51.5,18.7,187,3250,"male",2009
"Tina 29","PAL-0326","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"Sandra 23","PAL-0327","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"Angela 13","PAL-0328","Chinstrap","Dream",51.4,19,201,3950,"male",2009
"Erica 11","PAL-0329","Chinstrap","Dream",45.7,17.3,193,3600,"female",2009
"Erica 35","PAL-0330","Chinstrap","Dream",50.7,19.7,203,4050,"male",2009
"Mary 22","PAL-0331","Chinstrap","Dream",42.5,17.3,187,3350,"female",2009
"Rita 13","PAL-0332","Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"Angela 25","PAL-0333","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009
"Jessica 38","PAL-0334","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009
"Tina 15","PAL-0335","Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"Mary 32","PAL-0336","Chinstrap","Dream",45.6,19.4,194,3525,"female",2009
"Jessica 24","PAL-0337","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009
"Pamela 35","PAL-0338","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"Tina 21","PAL-0339","Chinstrap","Dream",45.7,17,195,3650,"female",2009
"Sandra 1","PAL-0340","Chinstrap","Dream",55.8,19.8,207,4000,"male",2009
"Erica 21","PAL-0341","Chinstrap","Dream",43.5,18.1,202,3400,"female",2009
"Angela 6","PAL-0342","Chinstrap","Dream",49.6,18.2,193,3775,"male",2009
"Jessica 33","PAL-0343","Chinstrap","Dream",50.8,19,210,4100,"male",2009
"Tina 2","PAL-0344","Chinstrap","Dream",50.2,18.7,198,3775,"female",2009
